 time            v(adc0)         v(adc1)         v(adc2)         v(adc3)         v(adc4)         v(adc5)         v(adc6)         v(adc7)        
 6.05600000e-08  4.65826110e-09  4.65826118e-09  4.65826009e-09  4.65826118e-09  4.65690828e-09  4.65690822e-09  4.65826115e-09  4.65823936e-09 
 6.25600000e-08  4.65826128e-09  4.65826116e-09  4.65826225e-09  4.65826121e-09  4.65960425e-09  4.65960428e-09  4.65826124e-09  4.65828306e-09 
 6.45600000e-08  4.65826107e-09  4.65826117e-09  4.65826008e-09  4.65826118e-09  4.65692821e-09  4.65692816e-09  4.65826115e-09  4.65823913e-09 
 6.65600000e-08  4.65826126e-09  4.65826117e-09  4.65826233e-09  4.65826121e-09  4.65958384e-09  4.65958383e-09  4.65826125e-09  4.65828335e-09 
 6.85600000e-08  4.65826113e-09  4.65826116e-09  4.65826005e-09  4.65826118e-09  4.65694911e-09  4.65694910e-09  4.65826114e-09  4.65823886e-09 
 7.05600000e-08  4.65826125e-09  4.65826122e-09  4.65826234e-09  4.65826121e-09  4.65956246e-09  4.65956244e-09  4.65826126e-09  4.65828367e-09 
 7.25600000e-08  4.65826116e-09  4.65826118e-09  4.65826004e-09  4.65826118e-09  4.65697090e-09  4.65697089e-09  4.65826108e-09  4.65823860e-09 
 7.45600000e-08  4.65826123e-09  4.65826120e-09  4.65826236e-09  4.65826121e-09  4.65954022e-09  4.65954019e-09  4.65826125e-09  4.65828387e-09 
 7.65600000e-08  4.65826115e-09  4.65826120e-09  4.65826002e-09  4.65826119e-09  4.65699364e-09  4.65699358e-09  4.65826115e-09  4.65823835e-09 
 7.85600000e-08  4.65826124e-09  4.65826118e-09  4.65826238e-09  4.65826114e-09  4.65951707e-09  4.65951707e-09  4.65826124e-09  4.65828410e-09 
 8.05600000e-08  4.65826111e-09  4.65826121e-09  4.65826000e-09  4.65826120e-09  4.65701717e-09  4.65701719e-09  4.65826115e-09  4.65823812e-09 
 8.25600000e-08  4.65826122e-09  4.65826113e-09  4.65826235e-09  4.65826113e-09  4.65949306e-09  4.65949306e-09  4.65826124e-09  4.65828432e-09 
 8.45600000e-08  4.65826117e-09  4.65826120e-09  4.65825997e-09  4.65826121e-09  4.65704162e-09  4.65704161e-09  4.65826115e-09  4.65823790e-09 
 8.65600000e-08  4.65826121e-09  4.65826114e-09  4.65826240e-09  4.65826119e-09  4.65946826e-09  4.65946826e-09  4.65826124e-09  4.65828453e-09 
 8.85600000e-08  4.65826117e-09  4.65826119e-09  4.65825996e-09  4.65826120e-09  4.65706684e-09  4.65706684e-09  4.65826115e-09  4.65823770e-09 
 9.05600000e-08  4.65826117e-09  4.65826119e-09  4.65826244e-09  4.65826120e-09  4.65944267e-09  4.65944262e-09  4.65826124e-09  4.65828479e-09 
 9.25600000e-08  4.65826117e-09  4.65826121e-09  4.65826000e-09  4.65826113e-09  4.65709282e-09  4.65709279e-09  4.65826114e-09  4.65823751e-09 
 9.45600000e-08  4.65826122e-09  4.65826117e-09  4.65826245e-09  4.65826120e-09  4.65941630e-09  4.65941631e-09  4.65826125e-09  4.65828491e-09 
 9.65600000e-08  4.65826118e-09  4.65826124e-09  4.65825999e-09  4.65826119e-09  4.65711951e-09  4.65711950e-09  4.65826115e-09  4.65823740e-09 
 9.85600000e-08  4.65826120e-09  4.65826115e-09  4.65826244e-09  4.65826120e-09  4.65938917e-09  4.65938925e-09  4.65826125e-09  4.65828507e-09 
 1.00560000e-07  4.65826114e-09  4.65826124e-09  4.65825991e-09  4.65826119e-09  4.65714697e-09  4.65714694e-09  4.65826109e-09  4.65823724e-09 
 1.02560000e-07  4.65826119e-09  4.65826115e-09  4.65826244e-09  4.65826120e-09  4.65936141e-09  4.65936144e-09  4.65826121e-09  4.65828523e-09 
 1.04560000e-07  4.65826121e-09  4.65826123e-09  4.65825988e-09  4.65826119e-09  4.65717509e-09  4.65717505e-09  4.65826115e-09  4.65823710e-09 
 1.06560000e-07  4.65826119e-09  4.65826117e-09  4.65826246e-09  4.65826115e-09  4.65933295e-09  4.65933303e-09  4.65826124e-09  4.65828536e-09 
 1.08560000e-07  4.65826121e-09  4.65826121e-09  4.65825993e-09  4.65826119e-09  4.65720387e-09  4.65720382e-09  4.65826109e-09  4.65823697e-09 
 1.10560000e-07  4.65826113e-09  4.65826120e-09  4.65826253e-09  4.65826120e-09  4.65930385e-09  4.65930390e-09  4.65826122e-09  4.65828548e-09 
 1.12560000e-07  4.65826120e-09  4.65826119e-09  4.65825986e-09  4.65826119e-09  4.65723329e-09  4.65723320e-09  4.65826114e-09  4.65823681e-09 
 1.14560000e-07  4.65826114e-09  4.65826120e-09  4.65826248e-09  4.65826120e-09  4.65927416e-09  4.65927424e-09  4.65826125e-09  4.65828557e-09 
 1.16560000e-07  4.65826119e-09  4.65826120e-09  4.65825984e-09  4.65826120e-09  4.65726324e-09  4.65726319e-09  4.65826115e-09  4.65823672e-09 
 1.18560000e-07  4.65826119e-09  4.65826120e-09  4.65826251e-09  4.65826120e-09  4.65924391e-09  4.65924396e-09  4.65826124e-09  4.65828566e-09 
 1.20560000e-07  4.65826121e-09  4.65826118e-09  4.65825987e-09  4.65826120e-09  4.65729383e-09  4.65729375e-09  4.65826109e-09  4.65823664e-09 
 1.22560000e-07  4.65826117e-09  4.65826123e-09  4.65826254e-09  4.65826120e-09  4.65921305e-09  4.65921315e-09  4.65826125e-09  4.65828567e-09 
 1.24560000e-07  4.65826123e-09  4.65826116e-09  4.65825985e-09  4.65826119e-09  4.65732490e-09  4.65732483e-09  4.65826114e-09  4.65823658e-09 
 1.26560000e-07  4.65826115e-09  4.65826124e-09  4.65826256e-09  4.65826120e-09  4.65918178e-09  4.65918181e-09  4.65826126e-09  4.65828578e-09 
 1.28560000e-07  4.65826123e-09  4.65826116e-09  4.65825977e-09  4.65826119e-09  4.65735645e-09  4.65735642e-09  4.65826108e-09  4.65823659e-09 
