 yes             v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(Vitest)       i(Viout)        v(Vout)         i(v.x3.vib0)    i(v.x3.vib1)    i(v.x3.vib2)    i(v.x3.vib3)    i(v.x3.vib4)    i(v.x3.vib5)    i(v.x3.vib6)   
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.04078035e-08  2.84885100e-08  2.84885100e-05  1.11248513e-14  1.04698132e-07  1.17813604e-14  1.16106180e-14  1.07114238e-07  1.11244312e-14  1.09691396e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.14302530e-08  2.94983727e-08  2.94983727e-05  1.04362824e-07  1.04697828e-07  1.17713039e-14  1.16056359e-14  1.07114201e-07  1.11228714e-14  1.09676615e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.25330348e-08  3.05883109e-08  3.05883109e-05  1.11423680e-14  1.15505763e-14  1.07941520e-07  1.16008700e-14  1.07114162e-07  1.11212596e-14  1.09661413e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.35649598e-08  3.16088268e-08  3.16088268e-05  1.04362955e-07  1.15305226e-14  1.07941370e-07  1.15968436e-14  1.07114127e-07  1.11198202e-14  1.09647788e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.45527392e-08  3.25861738e-08  3.25861738e-05  1.11130487e-14  1.04697825e-07  1.07941245e-07  1.15933017e-14  1.07114095e-07  1.11184912e-14  1.09635289e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.55111923e-08  3.35349096e-08  3.35349096e-05  1.04362708e-07  1.04697596e-07  1.07941136e-07  1.15901158e-14  1.07114064e-07  1.11172503e-14  1.09623644e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.64394904e-08  3.44541348e-08  3.44541348e-05  1.11590975e-14  1.15690691e-14  1.17829329e-14  1.00394480e-07  1.07114036e-07  1.11160875e-14  1.09612685e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.74746740e-08  3.54795483e-08  3.54795483e-05  1.04363038e-07  1.15400797e-14  1.17722231e-14  1.00394416e-07  1.07114005e-07  1.11148273e-14  1.09600935e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.84558834e-08  3.64517944e-08  3.64517944e-05  1.11188645e-14  1.04697977e-07  1.17641239e-14  1.00394360e-07  1.07113977e-07  1.11136769e-14  1.09590144e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.94239379e-08  3.74112534e-08  3.74112534e-05  1.04362769e-07  1.04697714e-07  1.17573492e-14  1.00394307e-07  1.07113950e-07  1.11125752e-14  1.09579845e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  3.04990969e-08  3.84771155e-08  3.84771155e-05  1.11329669e-14  1.15400427e-14  1.07941262e-07  1.00394251e-07  1.07113921e-07  1.11113909e-14  1.09568786e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  3.14777748e-08  3.94475264e-08  3.94475264e-05  1.04362892e-07  1.15239443e-14  1.07941147e-07  1.00394204e-07  1.07113895e-07  1.11103451e-14  1.09559013e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  3.24239163e-08  4.03858264e-08  4.03858264e-05  1.11088490e-14  1.04697715e-07  1.07941045e-07  1.00394159e-07  1.07113871e-07  1.11093590e-14  1.09549899e-14 
