Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_6_85,VPWR,li1,46.4600,29.9200,1.799999
FILLER_6_81,VPWR,li1,43.4700,29.9200,1.799999
FILLER_6_56,VPWR,li1,31.5100,29.9200,1.799999
FILLER_6_52,VPWR,li1,30.3600,29.9200,1.799999
FILLER_6_29,VPWR,li1,19.3200,29.9200,1.800000
FILLER_6_25,VPWR,li1,17.7100,29.9200,1.800000
FILLER_6_7,VPWR,li1,9.2000,29.9200,1.799999
FILLER_5_287,VPWR,li1,137.7700,24.4800,1.799987
FILLER_5_281,VPWR,li1,136.1600,24.4800,1.799987
FILLER_5_279,VPWR,li1,134.0900,24.4800,1.799987
FILLER_5_273,VPWR,li1,132.4800,24.4800,1.799987
FILLER_5_261,VPWR,li1,128.3400,24.4800,1.799987
FILLER_5_249,VPWR,li1,122.8200,24.4800,1.799987
FILLER_5_237,VPWR,li1,117.3000,24.4800,1.799987
FILLER_5_225,VPWR,li1,111.7800,24.4800,1.799987
FILLER_5_221,VPWR,li1,107.8700,24.4800,1.799987
FILLER_5_207,VPWR,li1,100.9700,24.4800,1.799987
FILLER_5_199,VPWR,li1,97.5200,24.4800,1.799987
FILLER_5_187,VPWR,li1,94.3000,24.4800,1.799987
FILLER_5_179,VPWR,li1,88.3200,24.4800,1.799987
FILLER_5_156,VPWR,li1,80.0400,24.4800,1.799987
FILLER_5_133,VPWR,li1,67.3900,24.4800,1.799988
FILLER_5_111,VPWR,li1,56.8100,24.4800,1.799989
FILLER_5_99,VPWR,li1,53.8200,24.4800,1.799990
FILLER_5_77,VPWR,li1,41.4000,24.4800,1.799992
FILLER_5_69,VPWR,li1,39.1000,24.4800,1.799993
FILLER_5_57,VPWR,li1,34.5000,24.4800,1.799994
FILLER_5_48,VPWR,li1,29.4400,24.4800,1.799995
FILLER_5_23,VPWR,li1,16.3300,24.4800,1.799997
FILLER_5_19,VPWR,li1,15.1800,24.4800,1.799997
FILLER_5_7,VPWR,li1,11.5000,24.4800,1.799997
FILLER_4_285,VPWR,li1,137.3100,24.4800,1.799987
FILLER_4_277,VPWR,li1,134.7800,24.4800,1.799987
FILLER_4_265,VPWR,li1,130.1800,24.4800,1.799987
FILLER_4_253,VPWR,li1,124.6600,24.4800,1.799987
FILLER_4_251,VPWR,li1,121.2100,24.4800,1.799987
FILLER_4_247,VPWR,li1,120.0600,24.4800,1.799987
FILLER_4_235,VPWR,li1,116.3800,24.4800,1.799987
FILLER_4_223,VPWR,li1,110.8600,24.4800,1.799987
FILLER_4_211,VPWR,li1,105.3400,24.4800,1.799987
FILLER_4_205,VPWR,li1,100.5100,24.4800,1.799987
FILLER_4_197,VPWR,li1,97.9800,24.4800,1.799987
FILLER_4_195,VPWR,li1,95.4500,24.4800,1.799987
FILLER_4_191,VPWR,li1,94.3000,24.4800,1.799987
FILLER_4_179,VPWR,li1,90.6200,24.4800,1.799987
FILLER_4_159,VPWR,li1,79.3500,24.4800,1.799987
FILLER_4_151,VPWR,li1,76.8200,24.4800,1.799987
FILLER_4_139,VPWR,li1,69.6900,24.4800,1.799988
FILLER_4_131,VPWR,li1,67.6200,24.4800,1.799988
FILLER_4_125,VPWR,li1,63.2500,24.4800,1.799988
FILLER_4_119,VPWR,li1,61.6400,24.4800,1.799988
FILLER_4_111,VPWR,li1,57.0400,24.4800,1.799989
FILLER_4_93,VPWR,li1,48.7600,24.4800,1.799991
FILLER_4_85,VPWR,li1,46.4600,24.4800,1.799991
FILLER_4_83,VPWR,li1,43.9300,24.4800,1.799992
FILLER_4_75,VPWR,li1,41.8600,24.4800,1.799992
FILLER_4_54,VPWR,li1,32.2000,24.4800,1.799995
FILLER_4_42,VPWR,li1,27.6000,24.4800,1.799996
FILLER_4_33,VPWR,li1,20.9300,24.4800,1.799997
FILLER_4_29,VPWR,li1,19.7800,24.4800,1.799997
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.799997
FILLER_4_19,VPWR,li1,16.1000,24.4800,1.799997
FILLER_4_7,VPWR,li1,11.5000,24.4800,1.799997
FILLER_3_287,VPWR,li1,137.7700,19.0400,1.799997
FILLER_3_281,VPWR,li1,136.1600,19.0400,1.799997
FILLER_3_279,VPWR,li1,134.0900,19.0400,1.799997
FILLER_3_273,VPWR,li1,132.4800,19.0400,1.799997
FILLER_3_261,VPWR,li1,128.3400,19.0400,1.799997
FILLER_3_249,VPWR,li1,122.8200,19.0400,1.799997
FILLER_3_237,VPWR,li1,117.3000,19.0400,1.799997
FILLER_3_225,VPWR,li1,111.7800,19.0400,1.799997
FILLER_3_216,VPWR,li1,106.7200,19.0400,1.799997
FILLER_3_204,VPWR,li1,102.1200,19.0400,1.799997
FILLER_3_191,VPWR,li1,93.6100,19.0400,1.799997
FILLER_3_185,VPWR,li1,92.0000,19.0400,1.799997
FILLER_3_150,VPWR,li1,77.2800,19.0400,1.799998
FILLER_3_125,VPWR,li1,63.7100,19.0400,1.799998
FILLER_3_113,VPWR,li1,60.2600,19.0400,1.799998
FILLER_3_109,VPWR,li1,56.3500,19.0400,1.799998
FILLER_3_101,VPWR,li1,53.8200,19.0400,1.799998
FILLER_3_95,VPWR,li1,49.6800,19.0400,1.799998
FILLER_3_78,VPWR,li1,41.6300,19.0400,1.799998
FILLER_3_74,VPWR,li1,40.4800,19.0400,1.799998
FILLER_3_57,VPWR,li1,31.9700,19.0400,1.799999
FILLER_3_52,VPWR,li1,30.3600,19.0400,1.799999
FILLER_3_40,VPWR,li1,26.6800,19.0400,1.799999
FILLER_3_28,VPWR,li1,21.1600,19.0400,1.799999
FILLER_3_3,VPWR,li1,7.1300,19.0400,1.799999
FILLER_2_285,VPWR,li1,137.3100,19.0400,1.799997
FILLER_2_277,VPWR,li1,134.7800,19.0400,1.799997
FILLER_2_265,VPWR,li1,130.1800,19.0400,1.799997
FILLER_2_253,VPWR,li1,124.6600,19.0400,1.799997
FILLER_2_250,VPWR,li1,120.9800,19.0400,1.799997
FILLER_2_238,VPWR,li1,117.7600,19.0400,1.799997
FILLER_2_226,VPWR,li1,112.2400,19.0400,1.799997
FILLER_2_185,VPWR,li1,90.8500,19.0400,1.799997
FILLER_2_177,VPWR,li1,88.7800,19.0400,1.799997
FILLER_2_171,VPWR,li1,84.8700,19.0400,1.799997
FILLER_2_163,VPWR,li1,82.3400,19.0400,1.799997
FILLER_2_153,VPWR,li1,76.1300,19.0400,1.799998
FILLER_2_141,VPWR,li1,73.1400,19.0400,1.799998
FILLER_2_138,VPWR,li1,69.4600,19.0400,1.799998
FILLER_2_130,VPWR,li1,67.1600,19.0400,1.799998
FILLER_2_122,VPWR,li1,62.3300,19.0400,1.799998
FILLER_2_94,VPWR,li1,48.9900,19.0400,1.799998
FILLER_2_85,VPWR,li1,46.0000,19.0400,1.799998
FILLER_2_72,VPWR,li1,41.4000,19.0400,1.799998
FILLER_2_58,VPWR,li1,33.5800,19.0400,1.799999
FILLER_2_46,VPWR,li1,29.4400,19.0400,1.799999
FILLER_2_26,VPWR,li1,17.9400,19.0400,1.799999
FILLER_2_17,VPWR,li1,13.5700,19.0400,1.799999
FILLER_2_3,VPWR,li1,7.1300,19.0400,1.799999
FILLER_1_281,VPWR,li1,135.4700,13.6000,1.799996
FILLER_1_279,VPWR,li1,134.0900,13.6000,1.799996
FILLER_1_273,VPWR,li1,132.4800,13.6000,1.799996
FILLER_1_261,VPWR,li1,128.3400,13.6000,1.799996
FILLER_1_249,VPWR,li1,122.8200,13.6000,1.799996
FILLER_1_237,VPWR,li1,117.3000,13.6000,1.799996
FILLER_1_225,VPWR,li1,111.7800,13.6000,1.799996
FILLER_1_212,VPWR,li1,105.8000,13.6000,1.799996
FILLER_1_193,VPWR,li1,94.7600,13.6000,1.799996
FILLER_1_181,VPWR,li1,91.5400,13.6000,1.799996
FILLER_1_169,VPWR,li1,86.0200,13.6000,1.799997
FILLER_1_151,VPWR,li1,75.2100,13.6000,1.799997
FILLER_1_143,VPWR,li1,73.1400,13.6000,1.799997
FILLER_1_121,VPWR,li1,61.4100,13.6000,1.799997
FILLER_1_113,VPWR,li1,59.3400,13.6000,1.799997
FILLER_1_106,VPWR,li1,55.6600,13.6000,1.799997
FILLER_1_89,VPWR,li1,46.6900,13.6000,1.799998
FILLER_1_81,VPWR,li1,44.6200,13.6000,1.799998
FILLER_1_69,VPWR,li1,40.0200,13.6000,1.799998
FILLER_1_57,VPWR,li1,34.5000,13.6000,1.799999
FILLER_1_52,VPWR,li1,30.3600,13.6000,1.799999
FILLER_1_40,VPWR,li1,26.6800,13.6000,1.799999
FILLER_1_28,VPWR,li1,21.1600,13.6000,1.799999
FILLER_1_11,VPWR,li1,10.8100,13.6000,1.799999
FILLER_0_287,VPWR,li1,137.7700,13.6000,1.799996
FILLER_0_281,VPWR,li1,136.1600,13.6000,1.799996
FILLER_0_277,VPWR,li1,133.6300,13.6000,1.799996
FILLER_0_265,VPWR,li1,130.1800,13.6000,1.799996
FILLER_0_253,VPWR,li1,124.6600,13.6000,1.799996
FILLER_0_249,VPWR,li1,120.7500,13.6000,1.799996
FILLER_0_237,VPWR,li1,117.3000,13.6000,1.799996
FILLER_0_225,VPWR,li1,111.7800,13.6000,1.799996
FILLER_0_221,VPWR,li1,107.8700,13.6000,1.799996
FILLER_0_209,VPWR,li1,104.4200,13.6000,1.799996
FILLER_0_197,VPWR,li1,98.9000,13.6000,1.799996
FILLER_0_193,VPWR,li1,94.9900,13.6000,1.799996
FILLER_0_181,VPWR,li1,91.5400,13.6000,1.799996
FILLER_0_169,VPWR,li1,86.0200,13.6000,1.799997
FILLER_0_160,VPWR,li1,80.9600,13.6000,1.799997
FILLER_0_153,VPWR,li1,76.1300,13.6000,1.799997
FILLER_0_141,VPWR,li1,73.1400,13.6000,1.799997
FILLER_0_137,VPWR,li1,69.2300,13.6000,1.799997
FILLER_0_125,VPWR,li1,65.7800,13.6000,1.799997
FILLER_0_113,VPWR,li1,60.2600,13.6000,1.799997
FILLER_0_110,VPWR,li1,56.5800,13.6000,1.799997
FILLER_0_102,VPWR,li1,54.2800,13.6000,1.799997
FILLER_0_93,VPWR,li1,48.9900,13.6000,1.799998
FILLER_0_85,VPWR,li1,46.4600,13.6000,1.799998
FILLER_0_81,VPWR,li1,43.4700,13.6000,1.799998
FILLER_0_69,VPWR,li1,40.0200,13.6000,1.799998
FILLER_0_57,VPWR,li1,34.5000,13.6000,1.799999
FILLER_0_53,VPWR,li1,30.5900,13.6000,1.799999
FILLER_0_41,VPWR,li1,27.1400,13.6000,1.799999
FILLER_0_29,VPWR,li1,21.6200,13.6000,1.799999
FILLER_0_26,VPWR,li1,17.9400,13.6000,1.799999
FILLER_0_18,VPWR,li1,15.6400,13.6000,1.799999
FILLER_0_6,VPWR,li1,11.0400,13.6000,1.799999
hold12,VPWR,li1,35.8800,24.4800,1.799994
hold11,VPWR,li1,40.9400,29.9200,1.799999
hold10,VPWR,li1,53.8200,35.3600,1.799997
hold9,VPWR,li1,25.3000,29.9200,1.799999
hold8,VPWR,li1,110.8600,29.9200,1.799998
hold7,VPWR,li1,21.6200,29.9200,1.800000
hold6,VPWR,li1,20.7000,19.0400,1.799999
hold5,VPWR,li1,11.5000,19.0400,1.799999
hold4,VPWR,li1,13.3400,35.3600,1.799999
hold3,VPWR,li1,15.1800,29.9200,1.799999
hold2,VPWR,li1,38.6400,35.3600,1.799998
hold1,VPWR,li1,42.3200,35.3600,1.799998
clkload0,VPWR,li1,71.7600,24.4800,1.799987
clkbuf_1_1__f_clk,VPWR,li1,72.6800,24.4800,1.799987
clkbuf_1_0__f_clk,VPWR,li1,46.4600,24.4800,1.799991
_083__1,VPWR,li1,48.0700,19.0400,1.799998
