 time            v(rst_n)        v(vinp)         v(sb0)          v(sb1)          v(sb2)          v(sb3)          v(sb4)          v(sb5)          v(sb6)          v(sb7)          v(adc0a)        v(adc1a)        v(adc2a)        v(adc3a)        v(adc4a)        v(adc5a)        v(adc6a)        v(adc7a)        v(count0a)      v(count1a)      v(count2a)      v(count3a)     
 0.00000000e+00  0.00000000e+00  2.53786028e-01  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.00000000e-11  0.00000000e+00  2.53786028e-01  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 4.00000000e-11  0.00000000e+00  2.53786028e-01  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 8.00000000e-11  0.00000000e+00  2.53786028e-01  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.60000000e-10  0.00000000e+00  2.53786028e-01  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 3.20000000e-10  0.00000000e+00  2.53786028e-01  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 6.40000000e-10  0.00000000e+00  2.53786028e-01  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-09  0.00000000e+00  2.53786028e-01  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  1.44999998e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00759310e-09  0.00000000e+00  2.53786028e-01  1.45247838e+00  1.45247913e+00  1.45248100e+00  1.45248402e+00  1.45248968e+00  1.45249333e+00  1.45249346e+00  1.45249424e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.02277931e-09  0.00000000e+00  2.53786028e-01  1.45751341e+00  1.45751548e+00  1.45751582e+00  1.45751591e+00  1.45751576e+00  1.45752455e+00  1.45753890e+00  1.45754367e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.05315173e-09  0.00000000e+00  2.53786028e-01  1.46630879e+00  1.46632449e+00  1.46632879e+00  1.46633033e+00  1.46633154e+00  1.46632910e+00  1.46633316e+00  1.46635164e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.11389657e-09  0.00000000e+00  2.53786028e-01  1.48165054e+00  1.48170089e+00  1.48171958e+00  1.48172600e+00  1.48172814e+00  1.48173292e+00  1.48173672e+00  1.48175009e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.23538624e-09  0.00000000e+00  2.53786028e-01  1.51241289e+00  1.51249679e+00  1.51253740e+00  1.51255627e+00  1.51256473e+00  1.51256499e+00  1.51256929e+00  1.51257443e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.38335310e-09  0.00000000e+00  2.53786028e-01  1.53667873e+00  1.53677280e+00  1.53682021e+00  1.53684316e+00  1.53685255e+00  1.53685516e+00  1.53684938e+00  1.53684272e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.48773127e-09  0.00000000e+00  2.53786028e-01  1.46881793e+00  1.46879428e+00  1.46879996e+00  1.46880748e+00  1.46881085e+00  1.46880380e+00  1.46878254e+00  1.46870916e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.56531372e-09  0.00000000e+00  2.53786028e-01  1.28694319e+00  1.28660054e+00  1.28648903e+00  1.28645340e+00  1.28643547e+00  1.28640892e+00  1.28633337e+00  1.28613293e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.65482308e-09  0.00000000e+00  2.53786028e-01  8.56803987e-01  8.55436510e-01  8.54853230e-01  8.54606339e-01  8.54484800e-01  8.54369980e-01  8.54164518e-01  8.53701137e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.69711092e-09  0.00000000e+00  2.53786028e-01  5.46434009e-01  5.45157104e-01  5.44489257e-01  5.44161506e-01  5.43980062e-01  5.43818263e-01  5.43560879e-01  5.43062744e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.72614056e-09  0.00000000e+00  2.53786028e-01  3.27259358e-01  3.26798038e-01  3.26527123e-01  3.26373757e-01  3.26272830e-01  3.26169149e-01  3.26012704e-01  3.25742094e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.75430655e-09  0.00000000e+00  2.53786028e-01  1.79354969e-01  1.79126912e-01  1.78959550e-01  1.78850751e-01  1.78775856e-01  1.78708478e-01  1.78625297e-01  1.78511503e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.78480651e-09  0.00000000e+00  2.53786028e-01  8.77595477e-02  8.76933792e-02  8.76071487e-02  8.75335948e-02  8.74797401e-02  8.74407791e-02  8.74123039e-02  8.73911698e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.81663587e-09  0.00000000e+00  2.53786028e-01  4.35092173e-02  4.35104452e-02  4.34815432e-02  4.34418829e-02  4.34082249e-02  4.33884710e-02  4.33847073e-02  4.33903076e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.86239709e-09  0.00000000e+00  2.53786028e-01  1.99333364e-02  1.99460213e-02  1.99400464e-02  1.99135541e-02  1.98797643e-02  1.98572202e-02  1.98590423e-02  1.98820822e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.91378130e-09  0.00000000e+00  2.53786028e-01  1.41070887e-02  1.40666531e-02  1.40806986e-02  1.40965459e-02  1.41099676e-02  1.41213533e-02  1.41245225e-02  1.41147667e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.97860650e-09  0.00000000e+00  2.53786028e-01  1.23426212e-02  1.23654194e-02  1.23294323e-02  1.23003315e-02  1.22833031e-02  1.22749286e-02  1.22754731e-02  1.22858898e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.05224670e-09  0.00000000e+00  2.53786028e-01  4.09946221e-03  4.00805575e-03  3.96742770e-03  3.94416240e-03  3.93106645e-03  3.92593561e-03  3.92823011e-03  3.93894246e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.12984256e-09  0.00000000e+00  2.53786028e-01  1.99187040e-03  2.02350005e-03  2.04116796e-03  2.05518281e-03  2.06603037e-03  2.07378419e-03  2.07939426e-03  2.08585049e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.23490602e-09  0.00000000e+00  2.53786028e-01  2.38688979e-03  2.47960711e-03  2.54559920e-03  2.59031370e-03  2.61948284e-03  2.63581415e-03  2.64132747e-03  2.63789795e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.34035828e-09  0.00000000e+00  2.53786028e-01  3.18636664e-03  3.25095926e-03  3.29839334e-03  3.32981847e-03  3.34920549e-03  3.36083446e-03  3.36730444e-03  3.36977963e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.46853159e-09  0.00000000e+00  2.53786028e-01  4.02289046e-03  4.00628261e-03  4.01243924e-03  4.02551003e-03  4.03621328e-03  4.03915246e-03  4.03057910e-03  4.00688012e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.62641318e-09  0.00000000e+00  2.53786028e-01  8.02739024e-04  8.10541429e-04  7.99696951e-04  7.86061916e-04  7.75248930e-04  7.68528913e-04  7.66386965e-04  7.69387474e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.77772091e-09  0.00000000e+00  2.53786028e-01  5.01560898e-04  4.93197443e-04  4.97758057e-04  5.02728388e-04  5.05617474e-04  5.07102135e-04  5.06894933e-04  5.04387407e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.97690408e-09  0.00000000e+00  2.53786028e-01 -2.31351491e-04 -2.28500393e-04 -2.33786105e-04 -2.37924240e-04 -2.39897875e-04 -2.40934731e-04 -2.40931588e-04 -2.40634761e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 3.22946596e-09  0.00000000e+00  2.53786028e-01  1.10770730e-05  8.38671994e-06  1.18798830e-05  1.43171581e-05  1.53136847e-05  1.60052607e-05  1.61786001e-05  1.70296262e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 3.56357893e-09  0.00000000e+00  2.53786028e-01 -2.54428939e-04 -2.52221349e-04 -2.54876688e-04 -2.56577993e-04 -2.57251200e-04 -2.57906748e-04 -2.58200940e-04 -2.59565990e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 3.92462193e-09  0.00000000e+00  2.53786028e-01  8.46225780e-05  8.25266822e-05  8.44038271e-05  8.55267167e-05  8.59768149e-05  8.65847121e-05  8.69263486e-05  8.85192633e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 4.21071773e-09  0.00000000e+00  2.53786028e-01 -1.04239949e-04 -1.02195581e-04 -1.03254975e-04 -1.03845449e-04 -1.04146121e-04 -1.04744599e-04 -1.05183031e-04 -1.07031339e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 4.38723345e-09  0.00000000e+00  2.53786028e-01  1.40909278e-04  1.38696314e-04  1.38735695e-04  1.38773880e-04  1.38975231e-04  1.39539526e-04  1.40016566e-04  1.41915454e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 4.52824411e-09  0.00000000e+00  2.53786028e-01 -4.03468377e-05 -3.77392625e-05 -3.69350039e-05 -3.66479513e-05 -3.68810156e-05 -3.74276308e-05 -3.79275748e-05 -3.97397922e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 4.64809972e-09  0.00000000e+00  2.53786028e-01  1.48360512e-04  1.45236093e-04  1.43910128e-04  1.43525813e-04  1.43850486e-04  1.44354292e-04  1.44794779e-04  1.46309159e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 4.77986057e-09  0.00000000e+00  2.53786028e-01 -2.09955836e-05 -1.74826479e-05 -1.59675188e-05 -1.56260147e-05 -1.60417930e-05 -1.65082604e-05 -1.68784606e-05 -1.80862679e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 4.92015251e-09  0.00000000e+00  2.53786028e-01  1.35846061e-04  1.32051079e-04  1.30494517e-04  1.30224567e-04  1.30706922e-04  1.31150207e-04  1.31472811e-04  1.32437755e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 5.08537700e-09  0.00000000e+00  2.53786028e-01 -4.47184630e-05 -4.07464498e-05 -3.92124675e-05 -3.89997750e-05 -3.95043262e-05 -3.98914076e-05 -4.01017398e-05 -4.07380813e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
