net,length_um
net11,131.64µm
net2,124.52µm
net12,115.86µm
clknet_1_1__leaf_clk,107.58µm
net1,103.84µm
clk,103.03µm
net13,101.64µm
net19,90.64µm
clknet_1_0__leaf_clk,89.755µm
_030_,89.38µm
_049_,80.28µm
net14,61.82µm
count\[2\],59.8µm
net21,59.62µm
net15,56.74µm
net20,54.36µm
net16,52.86µm
count\[3\],47.28µm
net18,45.46µm
_029_,33.62µm
count\[0\],33.38µm
net6,29.96µm
_032_,26.84µm
adc_out[7],23.69µm
_028_,23.68µm
net17,23.14µm
_047_,22.94µm
count\[1\],21.08µm
net3,19.04µm
net9,18.7µm
clknet_0_clk,18.04µm
adc_out[1],17.25µm
_039_,16.64µm
net7,15.86µm
_037_,15.68µm
adc_out[5],15.53µm
_022_,15.28µm
_041_,14.46µm
adc_out[6],14.19µm
adc_out[4],14.17µm
_045_,13.86µm
dac_in[4],13.74µm
dac_in[6],13.74µm
_043_,12.84µm
dac_in[1],12.82µm
dac_in[7],12.36µm
adc_out[0],12.13µm
dac_in[0],11.9µm
dac_in[2],11.9µm
dac_in[3],11.9µm
dac_in[5],11.9µm
net10,11.5µm
_036_,10.78µm
net8,10.7µm
adc_out[3],10.09µm
rst_n,9.97µm
net5,9.66µm
_016_,9µm
net29,8.34µm
adc_out[2],7.71µm
comp,7.25µm
_021_,7.2µm
_007_,6.905µm
net23,6.645µm
net4,6.64µm
net30,6.54µm
_046_,6.26µm
net34,6.225µm
_051_,5.86µm
net32,5.72µm
_003_,5.555µm
_014_,5.34µm
_004_,5.305µm
_025_,5.06µm
net28,4.845µm
_020_,4.8µm
_019_,4.585µm
_015_,4.46µm
net25,4.24µm
_006_,4.145µm
_031_,4.02µm
_024_,4µm
net24,4µm
net33,3.78µm
_008_,3.685µm
_013_,3.56µm
net26,3.54µm
_005_,3.465µm
_001_,3.225µm
_027_,3.22µm
_009_,2.975µm
_034_,2.96µm
_042_,2.96µm
net31,2.885µm
_012_,2.715µm
_000_,2.375µm
_023_,2.3µm
_026_,2.3µm
_050_,2.3µm
net27,2.3µm
_040_,2.16µm
_048_,2.16µm
_011_,2.125µm
_010_,2.085µm
_033_,1.94µm
net22,1.84µm
_002_,1.685µm
_018_,1.405µm
_035_,1.26µm
_044_,1.14µm
_017_,0.8µm
_038_,0.46µm
