 v-sweep         v(vin_p)        i(v.x1.vib)     i(viout_p)      i(viout_n)     
 6.70000000e-01  6.70000000e-01  8.84002196e-06  1.04101094e-05  7.24859119e-06 
 6.80000000e-01  6.80000000e-01  8.84099215e-06  1.04948312e-05  7.16484100e-06 
 6.90000000e-01  6.90000000e-01  8.84192863e-06  1.05776307e-05  7.08297929e-06 
 7.00000000e-01  7.00000000e-01  8.84282934e-06  1.06582122e-05  7.00329991e-06 
 7.10000000e-01  7.10000000e-01  8.84369171e-06  1.07362285e-05  6.92614725e-06 
 7.20000000e-01  7.20000000e-01  8.84451266e-06  1.08112811e-05  6.85191693e-06 
 7.30000000e-01  7.30000000e-01  8.84528869e-06  1.08829271e-05  6.78104833e-06 
 7.40000000e-01  7.40000000e-01  8.84601608e-06  1.09506994e-05  6.71400464e-06 
 7.50000000e-01  7.50000000e-01  8.84669130e-06  1.10141425e-05  6.65123791e-06 
 7.60000000e-01  7.60000000e-01  8.84731143e-06  1.10728596e-05  6.59314211e-06 
 7.70000000e-01  7.70000000e-01  8.84787467e-06  1.11265620e-05  6.54000389e-06 
 7.80000000e-01  7.80000000e-01  8.84838065e-06  1.11751071e-05  6.49196578e-06 
 7.90000000e-01  7.90000000e-01  8.84883056e-06  1.12185107e-05  6.44901292e-06 
 8.00000000e-01  8.00000000e-01  8.84922692e-06  1.12569353e-05  6.41098540e-06 
 8.10000000e-01  8.10000000e-01  8.84957332e-06  1.12906589e-05  6.37760892e-06 
 8.20000000e-01  8.20000000e-01  8.84987398e-06  1.13200369e-05  6.34853216e-06 
 8.30000000e-01  8.30000000e-01  8.85013342e-06  1.13454670e-05  6.32336200e-06 
 8.40000000e-01  8.40000000e-01  8.85035617e-06  1.13673607e-05  6.30169150e-06 
 8.50000000e-01  8.50000000e-01  8.85054663e-06  1.13861230e-05  6.28311995e-06 
 8.60000000e-01  8.60000000e-01  8.85070889e-06  1.14021396e-05  6.26726600e-06 
 8.70000000e-01  8.70000000e-01  8.85084673e-06  1.14157681e-05  6.25377561e-06 
 8.80000000e-01  8.80000000e-01  8.85096354e-06  1.14273344e-05  6.24232629e-06 
 8.90000000e-01  8.90000000e-01  8.85106237e-06  1.14371309e-05  6.23262883e-06 
 9.00000000e-01  9.00000000e-01  8.85114586e-06  1.14454162e-05  6.22442727e-06 
 9.10000000e-01  9.10000000e-01  8.85121635e-06  1.14524165e-05  6.21749759e-06 
 9.20000000e-01  9.20000000e-01  8.85127583e-06  1.14583280e-05  6.21164569e-06 
 9.30000000e-01  9.30000000e-01  8.85132602e-06  1.14633192e-05  6.20670475e-06 
 9.40000000e-01  9.40000000e-01  8.85136838e-06  1.14675340e-05  6.20253242e-06 
 9.50000000e-01  9.50000000e-01  8.85140414e-06  1.14710943e-05  6.19900789e-06 
 9.60000000e-01  9.60000000e-01  8.85143436e-06  1.14741034e-05  6.19602913e-06 
 9.70000000e-01  9.70000000e-01  8.85145991e-06  1.14766479e-05  6.19351019e-06 
 9.80000000e-01  9.80000000e-01  8.85148152e-06  1.14788009e-05  6.19137889e-06 
 9.90000000e-01  9.90000000e-01  8.85149981e-06  1.14806235e-05  6.18957463e-06 
