 v-sweep         v(vin_p)        i(v.x4.vib)     i(v.x4.vibx2)   v(x4.min1)      v(x4.min2)      i(vir)          i(viout_p)      i(viout_n)     
 1.63000000e+00  1.63000000e+00  3.83886951e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367123e-06 
 1.64000000e+00  1.64000000e+00  3.83886951e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367123e-06 
 1.65000000e+00  1.65000000e+00  3.83886951e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367123e-06 
 1.66000000e+00  1.66000000e+00  3.83886951e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367123e-06 
 1.67000000e+00  1.67000000e+00  3.83886952e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367123e-06 
 1.68000000e+00  1.68000000e+00  3.83886952e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367123e-06 
 1.69000000e+00  1.69000000e+00  3.83886952e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367123e-06 
 1.70000000e+00  1.70000000e+00  3.83886952e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367123e-06 
 1.71000000e+00  1.71000000e+00  3.83886953e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367123e-06 
 1.72000000e+00  1.72000000e+00  3.83886953e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367123e-06 
 1.73000000e+00  1.73000000e+00  3.83886953e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886789e-06  1.73530013e-05  8.64367123e-06 
 1.74000000e+00  1.74000000e+00  3.83886954e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886789e-06  1.73530013e-05  8.64367123e-06 
 1.75000000e+00  1.75000000e+00  3.83886954e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886789e-06  1.73530013e-05  8.64367124e-06 
 1.76000000e+00  1.76000000e+00  3.83886954e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886789e-06  1.73530013e-05  8.64367124e-06 
 1.77000000e+00  1.77000000e+00  3.83886955e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886789e-06  1.73530013e-05  8.64367124e-06 
 1.78000000e+00  1.78000000e+00  3.83886955e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886789e-06  1.73530012e-05  8.64367124e-06 
 1.79000000e+00  1.79000000e+00  3.83886956e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886789e-06  1.73530012e-05  8.64367124e-06 
 1.80000000e+00  1.80000000e+00  3.83886956e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886789e-06  1.73530012e-05  8.64367124e-06 
