 yes             code            v(sb0)          v(sb1)          v(sb2)          v(sb3)          v(sb4)          v(sb5)          v(sb6)          v(sb7)          i(vib)          i(visense)      i(vidump)       v(q)            v(qbar)        
 1.00000000e+00  2.20000000e+01  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45640762e-06  6.31785681e-07  4.82461384e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  2.30000000e+01  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45640874e-06  6.64957468e-07  4.79144318e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  2.40000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45640837e-06  6.26507121e-07  4.82989315e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  2.50000000e+01  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45641039e-06  7.04492841e-07  4.75190945e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  2.60000000e+01  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45641095e-06  7.11308122e-07  4.74509473e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  2.70000000e+01  1.30000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45641218e-06  7.52506532e-07  4.70389755e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  2.80000000e+01  0.00000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45641205e-06  7.25171090e-07  4.73123287e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  2.90000000e+01  1.30000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45641360e-06  7.83561516e-07  4.67284399e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  3.00000000e+01  0.00000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45641382e-06  7.73932443e-07  4.68247328e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  3.10000000e+01  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45641468e-06  7.98172396e-07  4.65823420e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  3.20000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45641425e-06  7.53843359e-07  4.70256279e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  3.30000000e+01  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45641626e-06  8.40196692e-07  4.61621147e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  3.40000000e+01  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45641699e-06  8.58128326e-07  4.59828056e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  3.50000000e+01  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45641828e-06  9.08057742e-07  4.54835244e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  3.60000000e+01  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45641841e-06  8.94093889e-07  4.56231642e-06  2.00795870e-09  2.00795870e-09 
