net,length_um
net12,130.15µm
net14,123.94µm
net2,106.95µm
net13,97.66µm
net15,96.5µm
_050_,93.64µm
clknet_1_0__leaf_clk,90.86µm
clknet_1_1__leaf_clk,90.53µm
_060_,90.32µm
clk,89.81µm
net16,87.92µm
net35,87.92µm
net18,82.74µm
count\[2\],76.34µm
_059_,74.48µm
net27,73.24µm
net31,71.12µm
net17,69.8µm
net34,68.54µm
net28,68.33µm
net11,67.4µm
_030_,64.81µm
_064_,59.81µm
net1,59.56µm
net32,59.12µm
_048_,55.37µm
net25,50.68µm
count\[3\],46.76µm
net4,43.08µm
net30,39.76µm
_026_,38.46µm
net23,37.9µm
_061_,37.54µm
_013_,35.005µm
net3,33.66µm
net10,33.08µm
net19,33.04µm
_046_,32.22µm
net24,31.42µm
_069_,31.36µm
net29,30.3µm
net6,28.72µm
_032_,27µm
net33,24.6µm
_049_,22.72µm
count\[1\],19.5µm
comparator_clk,19.21µm
clknet_0_clk,18.74µm
net9,18.58µm
count\[0\],18.26µm
net5,18.02µm
_062_,17.88µm
dac_in_n[5],17.42µm
net7,17.22µm
net21,17.22µm
_068_,16.82µm
_070_,15.96µm
_012_,15.065µm
adc_out[0],14.85µm
adc_out[7],14.51µm
net8,14.48µm
dac_in_n[2],14.2µm
_065_,14.18µm
net38,14.02µm
_014_,13.525µm
adc_out[1],13.09µm
_063_,12.9µm
dac_in[0],12.82µm
dac_in[2],12.82µm
dac_in_n[0],12.36µm
dac_in_n[1],12.36µm
dac_in_n[3],12.36µm
dac_in_n[4],12.36µm
dac_in_n[6],12.36µm
dac_in[1],11.9µm
dac_in[3],11.9µm
dac_in[4],11.9µm
dac_in[5],11.9µm
dac_in[6],11.9µm
dac_in[7],11.9µm
rst_n,11.69µm
dac_in_n[7],11.44µm
_039_,11.26µm
_036_,10.66µm
_022_,10.08µm
_023_,9.88µm
adc_out[6],9.55µm
_044_,9.16µm
_058_,8.94µm
net37,8.6µm
_051_,8.56µm
_052_,8.56µm
_011_,8.525µm
net43,8.48µm
_071_,8.4µm
_034_,8.1µm
_041_,7.875µm
adc_out[2],7.03µm
adc_out[3],7.03µm
adc_out[4],7.03µm
adc_out[5],7.03µm
comp,6.79µm
_025_,6.78µm
_015_,6.725µm
_029_,6.2µm
net41,5.98µm
_021_,5.525µm
_027_,5.34µm
_067_,5.34µm
net26,5.26µm
_057_,4.94µm
net36,4.92µm
_056_,4.8µm
_028_,4.68µm
_037_,4.34µm
net22,3.88µm
net39,3.705µm
net40,3.68µm
net44,3.68µm
_010_,3.525µm
_008_,3.465µm
_033_,3.42µm
_066_,3.32µm
_053_,3.1µm
_054_,3.1µm
_055_,3.1µm
_002_,2.98µm
_038_,2.96µm
_035_,2.76µm
_040_,2.76µm
_009_,2.62µm
_003_,2.375µm
_004_,2.375µm
_019_,2.375µm
_016_,2.325µm
net42,2.3µm
_005_,2.255µm
_006_,2.255µm
_024_,2.16µm
_018_,2.125µm
net20,2.04µm
_001_,2.025µm
_020_,1.865µm
_007_,1.685µm
_042_,1.46µm
_043_,1.46µm
_017_,1.405µm
_045_,1.26µm
_031_,0.92µm
_047_,0.92µm
