 i-sweep         v(vout)         i(viin)         v(vgate)        v(vmid)        
 0.00000000e+00  1.04635516e+00  0.00000000e+00  1.50000000e+00  1.60000000e+00 
 1.00000000e-07  1.36372145e+00  1.00000000e-07  1.50000000e+00  1.60000000e+00 
 2.00000000e-07  1.39598647e+00  2.00000000e-07  1.50000000e+00  1.60000000e+00 
 3.00000000e-07  1.41478861e+00  3.00000000e-07  1.50000000e+00  1.60000000e+00 
 4.00000000e-07  1.42817161e+00  4.00000000e-07  1.50000000e+00  1.60000000e+00 
 5.00000000e-07  1.43863293e+00  5.00000000e-07  1.50000000e+00  1.60000000e+00 
 6.00000000e-07  1.44724586e+00  6.00000000e-07  1.50000000e+00  1.60000000e+00 
 7.00000000e-07  1.45460931e+00  7.00000000e-07  1.50000000e+00  1.60000000e+00 
 8.00000000e-07  1.46106223e+00  8.00000000e-07  1.50000000e+00  1.60000000e+00 
 9.00000000e-07  1.46682270e+00  9.00000000e-07  1.50000000e+00  1.60000000e+00 
 1.00000000e-06  1.47203892e+00  1.00000000e-06  1.50000000e+00  1.60000000e+00 
 1.10000000e-06  1.47681603e+00  1.10000000e-06  1.50000000e+00  1.60000000e+00 
 1.20000000e-06  1.48123128e+00  1.20000000e-06  1.50000000e+00  1.60000000e+00 
 1.30000000e-06  1.48535614e+00  1.30000000e-06  1.50000000e+00  1.60000000e+00 
 1.40000000e-06  1.48920495e+00  1.40000000e-06  1.50000000e+00  1.60000000e+00 
 1.50000000e-06  1.49283312e+00  1.50000000e-06  1.50000000e+00  1.60000000e+00 
 1.60000000e-06  1.49626867e+00  1.60000000e-06  1.50000000e+00  1.60000000e+00 
 1.70000000e-06  1.49953461e+00  1.70000000e-06  1.50000000e+00  1.60000000e+00 
 1.80000000e-06  1.50265007e+00  1.80000000e-06  1.50000000e+00  1.60000000e+00 
 1.90000000e-06  1.50563108e+00  1.90000000e-06  1.50000000e+00  1.60000000e+00 
 2.00000000e-06  1.50849125e+00  2.00000000e-06  1.50000000e+00  1.60000000e+00 
 2.10000000e-06  1.51124218e+00  2.10000000e-06  1.50000000e+00  1.60000000e+00 
 2.20000000e-06  1.51389387e+00  2.20000000e-06  1.50000000e+00  1.60000000e+00 
 2.30000000e-06  1.51645497e+00  2.30000000e-06  1.50000000e+00  1.60000000e+00 
 2.40000000e-06  1.51893305e+00  2.40000000e-06  1.50000000e+00  1.60000000e+00 
 2.50000000e-06  1.52133473e+00  2.50000000e-06  1.50000000e+00  1.60000000e+00 
 2.60000000e-06  1.52366587e+00  2.60000000e-06  1.50000000e+00  1.60000000e+00 
 2.70000000e-06  1.52593165e+00  2.70000000e-06  1.50000000e+00  1.60000000e+00 
 2.80000000e-06  1.52813670e+00  2.80000000e-06  1.50000000e+00  1.60000000e+00 
 2.90000000e-06  1.53028516e+00  2.90000000e-06  1.50000000e+00  1.60000000e+00 
 3.00000000e-06  1.53238074e+00  3.00000000e-06  1.50000000e+00  1.60000000e+00 
 3.10000000e-06  1.53442680e+00  3.10000000e-06  1.50000000e+00  1.60000000e+00 
 3.20000000e-06  1.53642637e+00  3.20000000e-06  1.50000000e+00  1.60000000e+00 
 3.30000000e-06  1.53838222e+00  3.30000000e-06  1.50000000e+00  1.60000000e+00 
 3.40000000e-06  1.54029684e+00  3.40000000e-06  1.50000000e+00  1.60000000e+00 
 3.50000000e-06  1.54217254e+00  3.50000000e-06  1.50000000e+00  1.60000000e+00 
 3.60000000e-06  1.54401141e+00  3.60000000e-06  1.50000000e+00  1.60000000e+00 
 3.70000000e-06  1.54581539e+00  3.70000000e-06  1.50000000e+00  1.60000000e+00 
 3.80000000e-06  1.54758625e+00  3.80000000e-06  1.50000000e+00  1.60000000e+00 
 3.90000000e-06  1.54932564e+00  3.90000000e-06  1.50000000e+00  1.60000000e+00 
 4.00000000e-06  1.55104614e+00  4.00000000e-06  1.50000000e+00  1.60000000e+00 
 4.10000000e-06  1.55272550e+00  4.10000000e-06  1.50000000e+00  1.60000000e+00 
 4.20000000e-06  1.55437782e+00  4.20000000e-06  1.50000000e+00  1.60000000e+00 
 4.30000000e-06  1.55600428e+00  4.30000000e-06  1.50000000e+00  1.60000000e+00 
 4.40000000e-06  1.55760599e+00  4.40000000e-06  1.50000000e+00  1.60000000e+00 
 4.50000000e-06  1.55918398e+00  4.50000000e-06  1.50000000e+00  1.60000000e+00 
 4.60000000e-06  1.56073922e+00  4.60000000e-06  1.50000000e+00  1.60000000e+00 
 4.70000000e-06  1.56227261e+00  4.70000000e-06  1.50000000e+00  1.60000000e+00 
 4.80000000e-06  1.56378501e+00  4.80000000e-06  1.50000000e+00  1.60000000e+00 
 4.90000000e-06  1.56527723e+00  4.90000000e-06  1.50000000e+00  1.60000000e+00 
 5.00000000e-06  1.56675001e+00  5.00000000e-06  1.50000000e+00  1.60000000e+00 
 5.10000000e-06  1.56820407e+00  5.10000000e-06  1.50000000e+00  1.60000000e+00 
 5.20000000e-06  1.56964008e+00  5.20000000e-06  1.50000000e+00  1.60000000e+00 
 5.30000000e-06  1.57105868e+00  5.30000000e-06  1.50000000e+00  1.60000000e+00 
 5.40000000e-06  1.57246046e+00  5.40000000e-06  1.50000000e+00  1.60000000e+00 
 5.50000000e-06  1.57384601e+00  5.50000000e-06  1.50000000e+00  1.60000000e+00 
 5.60000000e-06  1.57521585e+00  5.60000000e-06  1.50000000e+00  1.60000000e+00 
 5.70000000e-06  1.57657050e+00  5.70000000e-06  1.50000000e+00  1.60000000e+00 
 5.80000000e-06  1.57791045e+00  5.80000000e-06  1.50000000e+00  1.60000000e+00 
 5.90000000e-06  1.57923615e+00  5.90000000e-06  1.50000000e+00  1.60000000e+00 
 6.00000000e-06  1.58054805e+00  6.00000000e-06  1.50000000e+00  1.60000000e+00 
 6.10000000e-06  1.58184656e+00  6.10000000e-06  1.50000000e+00  1.60000000e+00 
 6.20000000e-06  1.58313209e+00  6.20000000e-06  1.50000000e+00  1.60000000e+00 
 6.30000000e-06  1.58440500e+00  6.30000000e-06  1.50000000e+00  1.60000000e+00 
 6.40000000e-06  1.58566568e+00  6.40000000e-06  1.50000000e+00  1.60000000e+00 
 6.50000000e-06  1.58691446e+00  6.50000000e-06  1.50000000e+00  1.60000000e+00 
 6.60000000e-06  1.58815167e+00  6.60000000e-06  1.50000000e+00  1.60000000e+00 
 6.70000000e-06  1.58937763e+00  6.70000000e-06  1.50000000e+00  1.60000000e+00 
 6.80000000e-06  1.59059264e+00  6.80000000e-06  1.50000000e+00  1.60000000e+00 
 6.90000000e-06  1.59179700e+00  6.90000000e-06  1.50000000e+00  1.60000000e+00 
 7.00000000e-06  1.59299098e+00  7.00000000e-06  1.50000000e+00  1.60000000e+00 
 7.10000000e-06  1.59417485e+00  7.10000000e-06  1.50000000e+00  1.60000000e+00 
 7.20000000e-06  1.59534886e+00  7.20000000e-06  1.50000000e+00  1.60000000e+00 
 7.30000000e-06  1.59651326e+00  7.30000000e-06  1.50000000e+00  1.60000000e+00 
 7.40000000e-06  1.59766829e+00  7.40000000e-06  1.50000000e+00  1.60000000e+00 
 7.50000000e-06  1.59881417e+00  7.50000000e-06  1.50000000e+00  1.60000000e+00 
 7.60000000e-06  1.59995112e+00  7.60000000e-06  1.50000000e+00  1.60000000e+00 
 7.70000000e-06  1.60107935e+00  7.70000000e-06  1.50000000e+00  1.60000000e+00 
 7.80000000e-06  1.60219906e+00  7.80000000e-06  1.50000000e+00  1.60000000e+00 
 7.90000000e-06  1.60331045e+00  7.90000000e-06  1.50000000e+00  1.60000000e+00 
 8.00000000e-06  1.60441371e+00  8.00000000e-06  1.50000000e+00  1.60000000e+00 
 8.10000000e-06  1.60550901e+00  8.10000000e-06  1.50000000e+00  1.60000000e+00 
 8.20000000e-06  1.60659653e+00  8.20000000e-06  1.50000000e+00  1.60000000e+00 
 8.30000000e-06  1.60767644e+00  8.30000000e-06  1.50000000e+00  1.60000000e+00 
 8.40000000e-06  1.60874890e+00  8.40000000e-06  1.50000000e+00  1.60000000e+00 
 8.50000000e-06  1.60981406e+00  8.50000000e-06  1.50000000e+00  1.60000000e+00 
 8.60000000e-06  1.61087209e+00  8.60000000e-06  1.50000000e+00  1.60000000e+00 
 8.70000000e-06  1.61192312e+00  8.70000000e-06  1.50000000e+00  1.60000000e+00 
