 i-sweep         v(vout)         i(viin)         v(vgate)        v(vmid)        
 0.00000000e+00  6.00000011e-01  0.00000000e+00  1.70000000e+00  6.00000000e-01 
 1.00000000e-07  6.04337786e-01  1.00000000e-07  1.70000000e+00  6.00000000e-01 
 2.00000000e-07  6.08752302e-01  2.00000000e-07  1.70000000e+00  6.00000000e-01 
 3.00000000e-07  6.13221317e-01  3.00000000e-07  1.70000000e+00  6.00000000e-01 
 4.00000000e-07  6.17746611e-01  4.00000000e-07  1.70000000e+00  6.00000000e-01 
 5.00000000e-07  6.22330303e-01  5.00000000e-07  1.70000000e+00  6.00000000e-01 
 6.00000000e-07  6.26974677e-01  6.00000000e-07  1.70000000e+00  6.00000000e-01 
 7.00000000e-07  6.31682167e-01  7.00000000e-07  1.70000000e+00  6.00000000e-01 
 8.00000000e-07  6.36455376e-01  8.00000000e-07  1.70000000e+00  6.00000000e-01 
 9.00000000e-07  6.41297091e-01  9.00000000e-07  1.70000000e+00  6.00000000e-01 
 1.00000000e-06  6.46210298e-01  1.00000000e-06  1.70000000e+00  6.00000000e-01 
 1.10000000e-06  6.51198207e-01  1.10000000e-06  1.70000000e+00  6.00000000e-01 
 1.20000000e-06  6.56264275e-01  1.20000000e-06  1.70000000e+00  6.00000000e-01 
 1.30000000e-06  6.61412233e-01  1.30000000e-06  1.70000000e+00  6.00000000e-01 
 1.40000000e-06  6.66646115e-01  1.40000000e-06  1.70000000e+00  6.00000000e-01 
 1.50000000e-06  6.71970297e-01  1.50000000e-06  1.70000000e+00  6.00000000e-01 
 1.60000000e-06  6.77389539e-01  1.60000000e-06  1.70000000e+00  6.00000000e-01 
 1.70000000e-06  6.82909027e-01  1.70000000e-06  1.70000000e+00  6.00000000e-01 
 1.80000000e-06  6.88534437e-01  1.80000000e-06  1.70000000e+00  6.00000000e-01 
 1.90000000e-06  6.94271995e-01  1.90000000e-06  1.70000000e+00  6.00000000e-01 
 2.00000000e-06  7.00128559e-01  2.00000000e-06  1.70000000e+00  6.00000000e-01 
 2.10000000e-06  7.06111707e-01  2.10000000e-06  1.70000000e+00  6.00000000e-01 
