 i-sweep         v(vout)         i(viin)         v(vgate)        v(vmid)        
 0.00000000e+00  1.00000055e-01  0.00000000e+00  1.20000000e+00  1.00000000e-01 
 1.00000000e-07  1.03427549e-01  1.00000000e-07  1.20000000e+00  1.00000000e-01 
 2.00000000e-07  1.06882692e-01  2.00000000e-07  1.20000000e+00  1.00000000e-01 
 3.00000000e-07  1.10352296e-01  3.00000000e-07  1.20000000e+00  1.00000000e-01 
 4.00000000e-07  1.13862720e-01  4.00000000e-07  1.20000000e+00  1.00000000e-01 
 5.00000000e-07  1.17402094e-01  5.00000000e-07  1.20000000e+00  1.00000000e-01 
 6.00000000e-07  1.20971028e-01  6.00000000e-07  1.20000000e+00  1.00000000e-01 
 7.00000000e-07  1.24570263e-01  7.00000000e-07  1.20000000e+00  1.00000000e-01 
 8.00000000e-07  1.28200571e-01  8.00000000e-07  1.20000000e+00  1.00000000e-01 
 9.00000000e-07  1.31862755e-01  9.00000000e-07  1.20000000e+00  1.00000000e-01 
 1.00000000e-06  1.35557658e-01  1.00000000e-06  1.20000000e+00  1.00000000e-01 
 1.10000000e-06  1.39286157e-01  1.10000000e-06  1.20000000e+00  1.00000000e-01 
 1.20000000e-06  1.43049170e-01  1.20000000e-06  1.20000000e+00  1.00000000e-01 
 1.30000000e-06  1.46847657e-01  1.30000000e-06  1.20000000e+00  1.00000000e-01 
 1.40000000e-06  1.50682625e-01  1.40000000e-06  1.20000000e+00  1.00000000e-01 
 1.50000000e-06  1.54555126e-01  1.50000000e-06  1.20000000e+00  1.00000000e-01 
 1.60000000e-06  1.58466267e-01  1.60000000e-06  1.20000000e+00  1.00000000e-01 
 1.70000000e-06  1.62417208e-01  1.70000000e-06  1.20000000e+00  1.00000000e-01 
 1.80000000e-06  1.66409170e-01  1.80000000e-06  1.20000000e+00  1.00000000e-01 
 1.90000000e-06  1.70443436e-01  1.90000000e-06  1.20000000e+00  1.00000000e-01 
 2.00000000e-06  1.74521357e-01  2.00000000e-06  1.20000000e+00  1.00000000e-01 
 2.10000000e-06  1.78644360e-01  2.10000000e-06  1.20000000e+00  1.00000000e-01 
 2.20000000e-06  1.82813946e-01  2.20000000e-06  1.20000000e+00  1.00000000e-01 
 2.30000000e-06  1.87031707e-01  2.30000000e-06  1.20000000e+00  1.00000000e-01 
 2.40000000e-06  1.91299323e-01  2.40000000e-06  1.20000000e+00  1.00000000e-01 
 2.50000000e-06  1.95618576e-01  2.50000000e-06  1.20000000e+00  1.00000000e-01 
 2.60000000e-06  1.99991355e-01  2.60000000e-06  1.20000000e+00  1.00000000e-01 
 2.70000000e-06  2.04419667e-01  2.70000000e-06  1.20000000e+00  1.00000000e-01 
 2.80000000e-06  2.08905648e-01  2.80000000e-06  1.20000000e+00  1.00000000e-01 
 2.90000000e-06  2.13451572e-01  2.90000000e-06  1.20000000e+00  1.00000000e-01 
 3.00000000e-06  2.18059869e-01  3.00000000e-06  1.20000000e+00  1.00000000e-01 
 3.10000000e-06  2.22733134e-01  3.10000000e-06  1.20000000e+00  1.00000000e-01 
 3.20000000e-06  2.27474148e-01  3.20000000e-06  1.20000000e+00  1.00000000e-01 
 3.30000000e-06  2.32285894e-01  3.30000000e-06  1.20000000e+00  1.00000000e-01 
 3.40000000e-06  2.37171581e-01  3.40000000e-06  1.20000000e+00  1.00000000e-01 
 3.50000000e-06  2.42134664e-01  3.50000000e-06  1.20000000e+00  1.00000000e-01 
 3.60000000e-06  2.47178877e-01  3.60000000e-06  1.20000000e+00  1.00000000e-01 
 3.70000000e-06  2.52308261e-01  3.70000000e-06  1.20000000e+00  1.00000000e-01 
