 i-sweep         v(vout)         i(viin)         v(vgate)        v(vmid)        
 0.00000000e+00  7.99943810e-01  0.00000000e+00  1.70000000e+00  8.00000000e-01 
 1.00000000e-07  8.10561356e-01  1.00000000e-07  1.70000000e+00  8.00000000e-01 
 2.00000000e-07  8.21883556e-01  2.00000000e-07  1.70000000e+00  8.00000000e-01 
 3.00000000e-07  8.34065564e-01  3.00000000e-07  1.70000000e+00  8.00000000e-01 
 4.00000000e-07  8.47327166e-01  4.00000000e-07  1.70000000e+00  8.00000000e-01 
 5.00000000e-07  8.61996507e-01  5.00000000e-07  1.70000000e+00  8.00000000e-01 
 6.00000000e-07  8.78598863e-01  6.00000000e-07  1.70000000e+00  8.00000000e-01 
 7.00000000e-07  8.98058706e-01  7.00000000e-07  1.70000000e+00  8.00000000e-01 
 8.00000000e-07  9.22223496e-01  8.00000000e-07  1.70000000e+00  8.00000000e-01 
 9.00000000e-07  9.55170430e-01  9.00000000e-07  1.70000000e+00  8.00000000e-01 
 1.00000000e-06  9.99438546e-01  1.00000000e-06  1.70000000e+00  8.00000000e-01 
 1.10000000e-06  1.03511807e+00  1.10000000e-06  1.70000000e+00  8.00000000e-01 
 1.20000000e-06  1.05742977e+00  1.20000000e-06  1.70000000e+00  8.00000000e-01 
 1.30000000e-06  1.07289991e+00  1.30000000e-06  1.70000000e+00  8.00000000e-01 
 1.40000000e-06  1.08468558e+00  1.40000000e-06  1.70000000e+00  8.00000000e-01 
 1.50000000e-06  1.09422571e+00  1.50000000e-06  1.70000000e+00  8.00000000e-01 
 1.60000000e-06  1.10226597e+00  1.60000000e-06  1.70000000e+00  8.00000000e-01 
 1.70000000e-06  1.10924315e+00  1.70000000e-06  1.70000000e+00  8.00000000e-01 
 1.80000000e-06  1.11541043e+00  1.80000000e-06  1.70000000e+00  8.00000000e-01 
 1.90000000e-06  1.12096823e+00  1.90000000e-06  1.70000000e+00  8.00000000e-01 
 2.00000000e-06  1.12602319e+00  2.00000000e-06  1.70000000e+00  8.00000000e-01 
 2.10000000e-06  1.13068067e+00  2.10000000e-06  1.70000000e+00  8.00000000e-01 
 2.20000000e-06  1.13499990e+00  2.20000000e-06  1.70000000e+00  8.00000000e-01 
 2.30000000e-06  1.13903703e+00  2.30000000e-06  1.70000000e+00  8.00000000e-01 
 2.40000000e-06  1.14283137e+00  2.40000000e-06  1.70000000e+00  8.00000000e-01 
 2.50000000e-06  1.14641628e+00  2.50000000e-06  1.70000000e+00  8.00000000e-01 
 2.60000000e-06  1.14982491e+00  2.60000000e-06  1.70000000e+00  8.00000000e-01 
 2.70000000e-06  1.15305283e+00  2.70000000e-06  1.70000000e+00  8.00000000e-01 
 2.80000000e-06  1.15614602e+00  2.80000000e-06  1.70000000e+00  8.00000000e-01 
