 i-sweep         v(vout)         i(viin)         v(vgate)        v(vmid)        
 5.80000000e-06  3.78560496e-01  5.80000000e-06  1.50000000e+00  2.00000000e-01 
 5.90000000e-06  3.82314250e-01  5.90000000e-06  1.50000000e+00  2.00000000e-01 
 6.00000000e-06  3.86102135e-01  6.00000000e-06  1.50000000e+00  2.00000000e-01 
 6.10000000e-06  3.89925084e-01  6.10000000e-06  1.50000000e+00  2.00000000e-01 
 6.20000000e-06  3.93784072e-01  6.20000000e-06  1.50000000e+00  2.00000000e-01 
 6.30000000e-06  3.97680122e-01  6.30000000e-06  1.50000000e+00  2.00000000e-01 
 6.40000000e-06  4.01614304e-01  6.40000000e-06  1.50000000e+00  2.00000000e-01 
 6.50000000e-06  4.05587743e-01  6.50000000e-06  1.50000000e+00  2.00000000e-01 
 6.60000000e-06  4.09601618e-01  6.60000000e-06  1.50000000e+00  2.00000000e-01 
 6.70000000e-06  4.13657168e-01  6.70000000e-06  1.50000000e+00  2.00000000e-01 
 6.80000000e-06  4.17755698e-01  6.80000000e-06  1.50000000e+00  2.00000000e-01 
 6.90000000e-06  4.21898582e-01  6.90000000e-06  1.50000000e+00  2.00000000e-01 
 7.00000000e-06  4.26087267e-01  7.00000000e-06  1.50000000e+00  2.00000000e-01 
 7.10000000e-06  4.30323281e-01  7.10000000e-06  1.50000000e+00  2.00000000e-01 
 7.20000000e-06  4.34608240e-01  7.20000000e-06  1.50000000e+00  2.00000000e-01 
 7.30000000e-06  4.38943851e-01  7.30000000e-06  1.50000000e+00  2.00000000e-01 
 7.40000000e-06  4.43331925e-01  7.40000000e-06  1.50000000e+00  2.00000000e-01 
 7.50000000e-06  4.47774381e-01  7.50000000e-06  1.50000000e+00  2.00000000e-01 
 7.60000000e-06  4.52273259e-01  7.60000000e-06  1.50000000e+00  2.00000000e-01 
 7.70000000e-06  4.56830726e-01  7.70000000e-06  1.50000000e+00  2.00000000e-01 
 7.80000000e-06  4.61449095e-01  7.80000000e-06  1.50000000e+00  2.00000000e-01 
 7.90000000e-06  4.66130832e-01  7.90000000e-06  1.50000000e+00  2.00000000e-01 
 8.00000000e-06  4.70878574e-01  8.00000000e-06  1.50000000e+00  2.00000000e-01 
 8.10000000e-06  4.75695144e-01  8.10000000e-06  1.50000000e+00  2.00000000e-01 
 8.20000000e-06  4.80583571e-01  8.20000000e-06  1.50000000e+00  2.00000000e-01 
 8.30000000e-06  4.85547113e-01  8.30000000e-06  1.50000000e+00  2.00000000e-01 
 8.40000000e-06  4.90589278e-01  8.40000000e-06  1.50000000e+00  2.00000000e-01 
 8.50000000e-06  4.95713856e-01  8.50000000e-06  1.50000000e+00  2.00000000e-01 
 8.60000000e-06  5.00924949e-01  8.60000000e-06  1.50000000e+00  2.00000000e-01 
 8.70000000e-06  5.06227005e-01  8.70000000e-06  1.50000000e+00  2.00000000e-01 
 8.80000000e-06  5.11624868e-01  8.80000000e-06  1.50000000e+00  2.00000000e-01 
 8.90000000e-06  5.17123821e-01  8.90000000e-06  1.50000000e+00  2.00000000e-01 
 9.00000000e-06  5.22729647e-01  9.00000000e-06  1.50000000e+00  2.00000000e-01 
 9.10000000e-06  5.28448696e-01  9.10000000e-06  1.50000000e+00  2.00000000e-01 
 9.20000000e-06  5.34287966e-01  9.20000000e-06  1.50000000e+00  2.00000000e-01 
 9.30000000e-06  5.40255199e-01  9.30000000e-06  1.50000000e+00  2.00000000e-01 
 9.40000000e-06  5.46358993e-01  9.40000000e-06  1.50000000e+00  2.00000000e-01 
 9.50000000e-06  5.52608940e-01  9.50000000e-06  1.50000000e+00  2.00000000e-01 
 9.60000000e-06  5.59015797e-01  9.60000000e-06  1.50000000e+00  2.00000000e-01 
 9.70000000e-06  5.65591681e-01  9.70000000e-06  1.50000000e+00  2.00000000e-01 
 9.80000000e-06  5.72350331e-01  9.80000000e-06  1.50000000e+00  2.00000000e-01 
 9.90000000e-06  5.79307412e-01  9.90000000e-06  1.50000000e+00  2.00000000e-01 
 1.00000000e-05  5.86480918e-01  1.00000000e-05  1.50000000e+00  2.00000000e-01 
 1.01000000e-05  5.93891672e-01  1.01000000e-05  1.50000000e+00  2.00000000e-01 
 1.02000000e-05  6.01563978e-01  1.02000000e-05  1.50000000e+00  2.00000000e-01 
 1.03000000e-05  6.09526472e-01  1.03000000e-05  1.50000000e+00  2.00000000e-01 
 1.04000000e-05  6.17813259e-01  1.04000000e-05  1.50000000e+00  2.00000000e-01 
 1.05000000e-05  6.26465448e-01  1.05000000e-05  1.50000000e+00  2.00000000e-01 
 1.06000000e-05  6.35533276e-01  1.06000000e-05  1.50000000e+00  2.00000000e-01 
 1.07000000e-05  6.45079114e-01  1.07000000e-05  1.50000000e+00  2.00000000e-01 
 1.08000000e-05  6.55181822e-01  1.08000000e-05  1.50000000e+00  2.00000000e-01 
 1.09000000e-05  6.65943264e-01  1.09000000e-05  1.50000000e+00  2.00000000e-01 
 1.10000000e-05  6.77498382e-01  1.10000000e-05  1.50000000e+00  2.00000000e-01 
 1.11000000e-05  6.90031430e-01  1.11000000e-05  1.50000000e+00  2.00000000e-01 
 1.12000000e-05  7.03803387e-01  1.12000000e-05  1.50000000e+00  2.00000000e-01 
 1.13000000e-05  7.19201008e-01  1.13000000e-05  1.50000000e+00  2.00000000e-01 
 1.14000000e-05  7.36830781e-01  1.14000000e-05  1.50000000e+00  2.00000000e-01 
 1.15000000e-05  7.57714392e-01  1.15000000e-05  1.50000000e+00  2.00000000e-01 
 1.16000000e-05  7.83735834e-01  1.16000000e-05  1.50000000e+00  2.00000000e-01 
 1.17000000e-05  8.18752657e-01  1.17000000e-05  1.50000000e+00  2.00000000e-01 
 1.18000000e-05  8.70980491e-01  1.18000000e-05  1.50000000e+00  2.00000000e-01 
 1.19000000e-05  9.45972403e-01  1.19000000e-05  1.50000000e+00  2.00000000e-01 
 1.20000000e-05  1.00558636e+00  1.20000000e-05  1.50000000e+00  2.00000000e-01 
 1.21000000e-05  1.03822338e+00  1.21000000e-05  1.50000000e+00  2.00000000e-01 
 1.22000000e-05  1.05864071e+00  1.22000000e-05  1.50000000e+00  2.00000000e-01 
 1.23000000e-05  1.07324352e+00  1.23000000e-05  1.50000000e+00  2.00000000e-01 
 1.24000000e-05  1.08458755e+00  1.24000000e-05  1.50000000e+00  2.00000000e-01 
 1.25000000e-05  1.09387889e+00  1.25000000e-05  1.50000000e+00  2.00000000e-01 
 1.26000000e-05  1.10176849e+00  1.26000000e-05  1.50000000e+00  2.00000000e-01 
 1.27000000e-05  1.10864368e+00  1.27000000e-05  1.50000000e+00  2.00000000e-01 
 1.28000000e-05  1.11475221e+00  1.28000000e-05  1.50000000e+00  2.00000000e-01 
 1.29000000e-05  1.12026159e+00  1.29000000e-05  1.50000000e+00  2.00000000e-01 
 1.30000000e-05  1.12529008e+00  1.30000000e-05  1.50000000e+00  2.00000000e-01 
 1.31000000e-05  1.12992415e+00  1.31000000e-05  1.50000000e+00  2.00000000e-01 
 1.32000000e-05  1.13422893e+00  1.32000000e-05  1.50000000e+00  2.00000000e-01 
 1.33000000e-05  1.13825458e+00  1.33000000e-05  1.50000000e+00  2.00000000e-01 
 1.34000000e-05  1.14204060e+00  1.34000000e-05  1.50000000e+00  2.00000000e-01 
 1.35000000e-05  1.14561863e+00  1.35000000e-05  1.50000000e+00  2.00000000e-01 
 1.36000000e-05  1.14901437e+00  1.36000000e-05  1.50000000e+00  2.00000000e-01 
 1.37000000e-05  1.15224902e+00  1.37000000e-05  1.50000000e+00  2.00000000e-01 
 1.38000000e-05  1.15534022e+00  1.38000000e-05  1.50000000e+00  2.00000000e-01 
 1.39000000e-05  1.15830285e+00  1.39000000e-05  1.50000000e+00  2.00000000e-01 
 1.40000000e-05  1.16114956e+00  1.40000000e-05  1.50000000e+00  2.00000000e-01 
 1.41000000e-05  1.16389120e+00  1.41000000e-05  1.50000000e+00  2.00000000e-01 
 1.42000000e-05  1.16653712e+00  1.42000000e-05  1.50000000e+00  2.00000000e-01 
 1.43000000e-05  1.16909547e+00  1.43000000e-05  1.50000000e+00  2.00000000e-01 
 1.44000000e-05  1.17157339e+00  1.44000000e-05  1.50000000e+00  2.00000000e-01 
 1.45000000e-05  1.17397714e+00  1.45000000e-05  1.50000000e+00  2.00000000e-01 
 1.46000000e-05  1.17631229e+00  1.46000000e-05  1.50000000e+00  2.00000000e-01 
 1.47000000e-05  1.17858377e+00  1.47000000e-05  1.50000000e+00  2.00000000e-01 
 1.48000000e-05  1.18079600e+00  1.48000000e-05  1.50000000e+00  2.00000000e-01 
 1.49000000e-05  1.18295293e+00  1.49000000e-05  1.50000000e+00  2.00000000e-01 
 1.50000000e-05  1.18505813e+00  1.50000000e-05  1.50000000e+00  2.00000000e-01 
 1.51000000e-05  1.18711481e+00  1.51000000e-05  1.50000000e+00  2.00000000e-01 
 1.52000000e-05  1.18912591e+00  1.52000000e-05  1.50000000e+00  2.00000000e-01 
 1.53000000e-05  1.19109407e+00  1.53000000e-05  1.50000000e+00  2.00000000e-01 
 1.54000000e-05  1.19302172e+00  1.54000000e-05  1.50000000e+00  2.00000000e-01 
 1.55000000e-05  1.19491108e+00  1.55000000e-05  1.50000000e+00  2.00000000e-01 
 1.56000000e-05  1.19676419e+00  1.56000000e-05  1.50000000e+00  2.00000000e-01 
 1.57000000e-05  1.19858291e+00  1.57000000e-05  1.50000000e+00  2.00000000e-01 
 1.58000000e-05  1.20036897e+00  1.58000000e-05  1.50000000e+00  2.00000000e-01 
 1.59000000e-05  1.20212397e+00  1.59000000e-05  1.50000000e+00  2.00000000e-01 
 1.60000000e-05  1.20384938e+00  1.60000000e-05  1.50000000e+00  2.00000000e-01 
 1.61000000e-05  1.20554657e+00  1.61000000e-05  1.50000000e+00  2.00000000e-01 
 1.62000000e-05  1.20721681e+00  1.62000000e-05  1.50000000e+00  2.00000000e-01 
 1.63000000e-05  1.20886129e+00  1.63000000e-05  1.50000000e+00  2.00000000e-01 
 1.64000000e-05  1.21048111e+00  1.64000000e-05  1.50000000e+00  2.00000000e-01 
 1.65000000e-05  1.21207731e+00  1.65000000e-05  1.50000000e+00  2.00000000e-01 
 1.66000000e-05  1.21365086e+00  1.66000000e-05  1.50000000e+00  2.00000000e-01 
 1.67000000e-05  1.21520265e+00  1.67000000e-05  1.50000000e+00  2.00000000e-01 
 1.68000000e-05  1.21673353e+00  1.68000000e-05  1.50000000e+00  2.00000000e-01 
 1.69000000e-05  1.21824432e+00  1.69000000e-05  1.50000000e+00  2.00000000e-01 
 1.70000000e-05  1.21973575e+00  1.70000000e-05  1.50000000e+00  2.00000000e-01 
 1.71000000e-05  1.22120854e+00  1.71000000e-05  1.50000000e+00  2.00000000e-01 
 1.72000000e-05  1.22266336e+00  1.72000000e-05  1.50000000e+00  2.00000000e-01 
 1.73000000e-05  1.22410083e+00  1.73000000e-05  1.50000000e+00  2.00000000e-01 
 1.74000000e-05  1.22552155e+00  1.74000000e-05  1.50000000e+00  2.00000000e-01 
 1.75000000e-05  1.22692610e+00  1.75000000e-05  1.50000000e+00  2.00000000e-01 
 1.76000000e-05  1.22831499e+00  1.76000000e-05  1.50000000e+00  2.00000000e-01 
 1.77000000e-05  1.22968875e+00  1.77000000e-05  1.50000000e+00  2.00000000e-01 
 1.78000000e-05  1.23104785e+00  1.78000000e-05  1.50000000e+00  2.00000000e-01 
 1.79000000e-05  1.23239275e+00  1.79000000e-05  1.50000000e+00  2.00000000e-01 
 1.80000000e-05  1.23372389e+00  1.80000000e-05  1.50000000e+00  2.00000000e-01 
 1.81000000e-05  1.23504168e+00  1.81000000e-05  1.50000000e+00  2.00000000e-01 
 1.82000000e-05  1.23634652e+00  1.82000000e-05  1.50000000e+00  2.00000000e-01 
 1.83000000e-05  1.23763879e+00  1.83000000e-05  1.50000000e+00  2.00000000e-01 
 1.84000000e-05  1.23891883e+00  1.84000000e-05  1.50000000e+00  2.00000000e-01 
 1.85000000e-05  1.24018701e+00  1.85000000e-05  1.50000000e+00  2.00000000e-01 
 1.86000000e-05  1.24144364e+00  1.86000000e-05  1.50000000e+00  2.00000000e-01 
 1.87000000e-05  1.24268904e+00  1.87000000e-05  1.50000000e+00  2.00000000e-01 
 1.88000000e-05  1.24392351e+00  1.88000000e-05  1.50000000e+00  2.00000000e-01 
 1.89000000e-05  1.24514734e+00  1.89000000e-05  1.50000000e+00  2.00000000e-01 
