Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_5_281,VGND,li1,135.4700,27.2000,0.000184
FILLER_5_279,VGND,li1,134.0900,27.2000,0.000184
FILLER_5_275,VGND,li1,132.9400,27.2000,0.000184
FILLER_5_263,VGND,li1,129.2600,27.2000,0.000184
FILLER_5_251,VGND,li1,123.7400,27.2000,0.000184
FILLER_5_239,VGND,li1,118.2200,27.2000,0.000184
FILLER_5_225,VGND,li1,110.4000,27.2000,0.000184
FILLER_5_221,VGND,li1,107.8700,27.2000,0.000184
FILLER_5_175,VGND,li1,86.4800,27.2000,0.000175
FILLER_5_169,VGND,li1,83.4900,27.2000,0.000173
FILLER_5_147,VGND,li1,73.3700,27.2000,0.000156
FILLER_5_143,VGND,li1,72.2200,27.2000,0.000156
FILLER_5_117,VGND,li1,59.5700,27.2000,0.000125
FILLER_5_113,VGND,li1,58.4200,27.2000,0.000125
FILLER_5_108,VGND,li1,56.1200,27.2000,0.000119
FILLER_5_99,VGND,li1,52.4400,27.2000,0.000105
FILLER_5_80,VGND,li1,42.5500,27.2000,0.000080
FILLER_5_72,VGND,li1,38.8700,27.2000,0.000067
FILLER_5_66,VGND,li1,37.2600,27.2000,0.000067
FILLER_5_57,VGND,li1,32.4300,27.2000,0.000051
FILLER_5_38,VGND,li1,23.4600,27.2000,0.000029
FILLER_5_30,VGND,li1,21.1600,27.2000,0.000029
FILLER_5_18,VGND,li1,16.5600,27.2000,0.000029
FILLER_5_6,VGND,li1,11.0400,27.2000,0.000029
FILLER_4_285,VGND,li1,137.3100,21.7600,0.000020
FILLER_4_273,VGND,li1,133.8600,21.7600,0.000020
FILLER_4_261,VGND,li1,128.3400,21.7600,0.000020
FILLER_4_233,VGND,li1,113.3900,21.7600,0.000020
FILLER_4_221,VGND,li1,109.9400,21.7600,0.000019
FILLER_4_209,VGND,li1,104.4200,21.7600,0.000019
FILLER_4_197,VGND,li1,98.9000,21.7600,0.000018
FILLER_4_190,VGND,li1,94.3000,21.7600,0.000018
FILLER_4_178,VGND,li1,90.1600,21.7600,0.000017
FILLER_4_172,VGND,li1,85.3300,21.7600,0.000017
FILLER_4_164,VGND,li1,82.8000,21.7600,0.000016
FILLER_4_155,VGND,li1,77.0500,21.7600,0.000015
FILLER_4_145,VGND,li1,72.9100,21.7600,0.000015
FILLER_4_136,VGND,li1,69.0000,21.7600,0.000014
