net,length_um
net12,128.17µm
net14,123.62µm
net2,112.24µm
net15,99.69µm
clknet_1_1__leaf_clk,97.56µm
net13,96.16µm
clknet_1_0__leaf_clk,94.86µm
net16,94.26µm
net34,89.88µm
clk,89.81µm
_050_,88.195µm
net18,81.36µm
net28,79.78µm
net33,79.55µm
_060_,77.09µm
_059_,76.98µm
count\[2\],74.54µm
net27,73.24µm
net17,73.2µm
net30,72.2µm
net11,67.86µm
net31,66.45µm
_049_,65.24µm
_064_,61.07µm
_030_,61.06µm
net1,60µm
count\[3\],55.48µm
net25,51.14µm
_048_,50.68µm
net4,41.6µm
_026_,39.74µm
net29,39.58µm
_061_,38.24µm
net23,37.34µm
_013_,35.225µm
net10,34.66µm
net19,34.64µm
net3,33.64µm
_046_,32.19µm
net6,30.56µm
net24,28.9µm
_069_,27.44µm
_032_,27µm
count\[1\],23.98µm
net32,23.06µm
comparator_clk,19.21µm
clknet_0_clk,18.74µm
net9,18.58µm
count\[0\],18.5µm
net7,18.24µm
net5,17.56µm
dac_in_n[5],17.42µm
_062_,16.47µm
net37,15.36µm
_063_,15.2µm
adc_out[0],14.85µm
adc_out[7],14.51µm
net8,14.48µm
_012_,14.32µm
dac_in_n[2],14.2µm
_065_,13.64µm
dac_in[7],13.6µm
_014_,13.525µm
net21,13.1µm
adc_out[1],13.09µm
dac_in[0],12.82µm
dac_in[2],12.82µm
dac_in_n[0],12.36µm
dac_in_n[1],12.36µm
dac_in_n[3],12.36µm
dac_in_n[4],12.36µm
dac_in_n[6],12.36µm
_047_,12.34µm
_036_,12.16µm
dac_in[1],11.9µm
dac_in[3],11.9µm
dac_in[4],11.9µm
dac_in[5],11.9µm
dac_in[6],11.9µm
rst_n,11.69µm
dac_in_n[7],11.44µm
_039_,10.92µm
_021_,10.445µm
_068_,10.42µm
_023_,9.76µm
adc_out[6],9.55µm
_022_,9.54µm
_011_,9.38µm
net36,9.06µm
_058_,8.94µm
_051_,8.9µm
_071_,8.86µm
net41,8.48µm
_044_,8.24µm
_070_,8.16µm
_025_,8.115µm
_034_,8.1µm
_041_,7.875µm
net42,7.34µm
_055_,7.06µm
adc_out[3],7.03µm
adc_out[4],7.03µm
adc_out[5],7.03µm
adc_out[2],6.99µm
_054_,6.795µm
comp,6.79µm
_015_,6.725µm
_052_,6.72µm
_027_,6.48µm
_029_,5.86µm
net39,5.52µm
net26,5.26µm
_057_,4.94µm
_067_,4.88µm
_045_,4.8µm
_056_,4.8µm
_002_,4.635µm
net22,3.88µm
net38,3.705µm
net40,3.68µm
_040_,3.66µm
_037_,3.54µm
_010_,3.525µm
_008_,3.465µm
_028_,3.42µm
_033_,3.42µm
_053_,3.1µm
_020_,2.98µm
_038_,2.96µm
_043_,2.94µm
_035_,2.76µm
_006_,2.715µm
_019_,2.705µm
_009_,2.62µm
net35,2.62µm
_066_,2.5µm
_004_,2.375µm
_005_,2.255µm
_024_,2.16µm
_018_,2.125µm
net20,2.04µm
_001_,2.025µm
_003_,1.915µm
_016_,1.865µm
net43,1.84µm
_007_,1.685µm
_042_,1.46µm
_017_,1.405µm
_031_,0.92µm
